source CELEX or GDPR article;original regulation sentence;implict actor present;verb with missing actor;type of occurance;identified implict actor;actor enhanced sentence;Notes Lukas;Notes Kate;General notes;
32017R1563;An authorised entity established in a Member State may distribute, communicate or make available to beneficiary persons or to an authorised entity established in a third country that is a party to the Marrakesh Treaty an accessible format copy of a work or other subject matter made in accordance with the national legislation adopted pursuant to Directive (EU) 2017/1564.;n;;;;;;;;
32017R1563;A beneficiary person or an authorised entity established in a Member State may import or otherwise obtain or access and thereafter use, in accordance with the national legislation adopted pursuant to Directive (EU) 2017/1564, an accessible format copy of a work or other subject matter that has been distributed, communicated or made available to beneficiary persons or to authorised entities, by an authorised entity in a third country that is a party to the Marrakesh Treaty.;n;;;;;;;;
32017R1563;"An authorised entity established in a Member State carrying out the acts referred to in Articles 3 and 4 shall establish and follow its own practices to ensure that it distributes, communicates and makes available accessible format copies only to beneficiary persons or other authorised entities;";n;;;;;;;;
32017R1563;"An authorised entity established in a Member State carrying out the acts referred to in Articles 3 and 4 shall establish and follow its own practices to ensure that it akes appropriate steps to discourage the unauthorised reproduction, distribution, communication to the public and making available to the public of accessible format copies;";n;;;;;;;;
32017R1563;"An authorised entity established in a Member State carrying out the acts referred to in Articles 3 and 4 shall establish and follow its own practices to ensure that it demonstrates due care in, and maintains records of, its handling of works or other subject matter and of accessible format copies thereof;";n;;;;;;;;
32017R1563;An authorised entity established in a Member State carrying out the acts referred to in Articles 3 and 4 shall establish and follow its own practices to ensure that it publishes and updates, on its website if appropriate, or through other online or offline channels, information on how it complies with the obligations laid down in points (a) to (c).;n;;;;;;;;
32017R1563;An authorised entity established in a Member State shall establish and follow the practices referred to in the first subparagraph in full respect of the rules applicable to the processing of personal data of beneficiary persons referred to in Article 6.;n;;;;;;;;
32017R1563;"An authorised entity established in a Member State carrying out the acts referred to in Articles 3 and 4 shall provide the following information in an accessible way, on request, to beneficiary persons, other authorised entities or rightholders the list of works or other subject matter for which it has accessible format copies and the available formats;";n;;;;;;;;
32017R1563;An authorised entity established in a Member State carrying out the acts referred to in Articles 3 and 4 shall provide the following information in an accessible way, on request, to beneficiary persons, other authorised entities or rightholders the name and contact details of the authorised entities with which it has engaged in the exchange of accessible format copies pursuant to Articles 3 and 4.;n;;;;;;;;
32017R1563;The processing of personal data carried out within the framework of this Regulation shall be carried out in compliance with Directives 95/46/EC and 2002/58/EC.;y;processing;action_noun;an authorised entity ;The processing of personal data by an authorised entity carried out by an authorised entity within the framework of this Regulation shall be carried out by an authorised entity in compliance with Directives 95/46/EC and 2002/58/EC.;;;;
32017R1563;The processing of personal data carried out within the framework of this Regulation shall be carried out in compliance with Directives 95/46/EC and 2002/58/EC.;y;carried out;passive;an authorised entity ;The processing of personal data by an authorised entity carried out by an authorised entity within the framework of this Regulation shall be carried out by an authorised entity in compliance with Directives 95/46/EC and 2002/58/EC.;;;;
32017R1563;The processing of personal data carried out within the framework of this Regulation shall be carried out in compliance with Directives 95/46/EC and 2002/58/EC.;y;carried out;passive;an authorised entity ;The processing of personal data by an authorised entity carried out by an authorised entity within the framework of this Regulation shall be carried out by an authorised entity in compliance with Directives 95/46/EC and 2002/58/EC.;;;;
32017R1563;By 11 October 2023, the Commission shall carry out an evaluation of this Regulation and present the main findings in a report to the European Parliament, the Council and the European Economic and Social Committee, accompanied, where appropriate, by proposals for amending this Regulation.;n;;;;;;;;
32017R1563;Member States shall provide the Commission with the necessary information for the preparation of the evaluation report.;n;;;;;;;;
32019R0517;"Registration of one or more domain names under the .eu TLD can be requested by a Union citizen, independently of their place of residence;";n;;;;;;;;
32019R0517;"Registration of one or more domain names under the .eu TLD can be requested by a natural person who is not a Union citizen and who is a resident of a Member State;";n;;;;;;;;
32019R0517;"Registration of one or more domain names under the .eu TLD can be requested by an undertaking that is established in the Union;";n;;;;;;;;
32019R0517;Registration of one or more domain names under the .eu TLD can be requested by an organisation that is established in the Union without prejudice to the application of national law.;n;;;;;;;;
32019R0517;A domain name shall be allocated to the eligible party whose request was first received by the Registry in the technically correct manner as laid down by the procedures for registration requests on the basis of point (b) of Article 11.;n;;;;;;;;
32019R0517;A registered domain name shall be unavailable for further registration until the registration has expired without renewal, or until the domain name has been revoked.;y;revoked;passive;the Registry;A registered domain name shall be unavailable for further registration until the registration has expired without renewal, or until the domain name has been revoked by the Registry.;;;;
32019R0517;"The Registry may revoke a domain name at its own initiative, without submitting the dispute to an ADR or judicial procedure, on the following grounds: there are outstanding unpaid debts owed to the Registry;";n;;;;;;;;
32019R0517;"The Registry may revoke a domain name at its own initiative, without submitting the dispute to an ADR or judicial procedure, on the following grounds: the non-fulfilment by the domain name holder of the eligibility criteria pursuant to Article 3;";n;;;;;;;;
32019R0517;The Registry may revoke a domain name at its own initiative, without submitting the dispute to an ADR or judicial procedure, on the following grounds: the breach by the domain name holder of the requirements for registration requests laid down on the basis of points (b) and (c) of Article 11.;n;;;;;;;;
32019R0517;"A domain name may also be revoked, and where necessary subsequently transferred to another party, following an appropriate ADR or judicial procedure, in accordance with the principles and procedures on the functioning of the .eu TLD laid down pursuant to Article 11, where that name is identical or confusingly similar to a name in respect of which a right is established by Union or national law, and where it has been registered by its holder without rights or legitimate interest in the name;";y;revoked;passive;the Registry;"A domain name may also be revoked by the Registry, and where necessary subsequently transferred by the Registry to another party, following an appropriate ADR or judicial procedure, in accordance with the principles and procedures on the functioning of the .eu TLD laid down pursuant to Article 11, where that name is identical or confusingly similar to a name in respect of which a right is established by Union or national law, and where it has been registered by its holder without rights or legitimate interest in the name;";;;;
32019R0517;"A domain name may also be revoked, and where necessary subsequently transferred to another party, following an appropriate ADR or judicial procedure, in accordance with the principles and procedures on the functioning of the .eu TLD laid down pursuant to Article 11, where that name is identical or confusingly similar to a name in respect of which a right is established by Union or national law, and where it has been registered by its holder without rights or legitimate interest in the name;";y;transferred;passive;the Registry;"A domain name may also be revoked by the Registry, and where necessary subsequently transferred by the Registry to another party, following an appropriate ADR or judicial procedure, in accordance with the principles and procedures on the functioning of the .eu TLD laid down pursuant to Article 12, where that name is identical or confusingly similar to a name in respect of which a right is established by Union or national law, and where it has been registered by its holder without rights or legitimate interest in the name;";;;;
32019R0517;A domain name may also be revoked, and where necessary subsequently transferred to another party, following an appropriate ADR or judicial procedure, in accordance with the principles and procedures on the functioning of the .eu TLD laid down pursuant to Article 11, where that name is identical or confusingly similar to a name in respect of which a right is established by Union or national law, and where it has been registered or is being used in bad faith.;y;revoked;passive;the Registry;A domain name may also be revoked by the Registry, and where necessary subsequently transferred by the Registry to another party, following an appropriate ADR or judicial procedure, in accordance with the principles and procedures on the functioning of the .eu TLD laid down pursuant to Article 11, where that name is identical or confusingly similar to a name in respect of which a right is established by Union or national law, and where it has been registered or is being used in bad faith.;;;;
32019R0517;A domain name may also be revoked, and where necessary subsequently transferred to another party, following an appropriate ADR or judicial procedure, in accordance with the principles and procedures on the functioning of the .eu TLD laid down pursuant to Article 11, where that name is identical or confusingly similar to a name in respect of which a right is established by Union or national law, and where it has been registered or is being used in bad faith.;y;transferred;passive;the Registry;A domain name may also be revoked by the Registry, and where necessary subsequently transferred by the Registry to another party, following an appropriate ADR or judicial procedure, in accordance with the principles and procedures on the functioning of the .eu TLD laid down pursuant to Article 12, where that name is identical or confusingly similar to a name in respect of which a right is established by Union or national law, and where it has been registered or is being used in bad faith.;;;;
32019R0517;Where a domain name is found by a decision of a court of a Member State to be defamatory, racist or contrary to public policy or public security under Union law, or national law that complies with Union law, that domain name shall be blocked by the Registry upon notification of the court's decision and shall be revoked upon notification of the final court decision.;n;;;;;;;;
32019R0517;The Registry shall block from future registration those domain names which have been subject to such a court order for as long as that order remains valid.;n;;;;;;;;
32019R0517;Domain names registered under the .eu TLD shall be transferable only to parties eligible for registration of .eu TLD names.;y;registered;passive;the Registry;Domain names registered by the Registry under the .eu TLD shall be transferable by Registrars only to parties eligible for registration of .eu TLD names.;;;;
32019R0517;Domain names registered under the .eu TLD shall be transferable only to parties eligible for registration of .eu TLD names.;y;transferable;passive;Registrars;Domain names registered by the Registry under the .eu TLD shall be transferable by Registrars only to parties eligible for registration of .eu TLD names.;;;;
32019R0517;The registration of domain names shall be carried out in all the characters of the official languages of the Union institutions, in accordance with the available international standards as allowed by the relevant Internationalised Domain Name protocols.;y;carried out;passive;the Registry;The registration of domain names shall be carried out by the Registry in all the characters of the official languages of the Union institutions, in accordance with the available international standards as allowed by the relevant Internationalised Domain Name protocols.;;;;
32019R0517;Without prejudice to Regulation (EU) No 1215/2012 of the European Parliament and of the Council (8) or to the rights and obligations recognised by the Member States or by the Union that arise from international instruments, neither contracts between the Registry and Registrars nor contracts between Registrars and registrants of domain names shall designate a law other than that of one of the Member States as the applicable law, nor shall they designate a court, arbitration court or other body located outside the Union as the relevant dispute resolution body.;i;located;passive;;;;;;
32019R0517;The Registry may reserve or register a number of domain names considered necessary for its operational functions under the contract referred to in Article 8(4).;n;;;;;;;;
32019R0517;The Commission may instruct the Registry to reserve or to register a domain name directly under the .eu TLD for use by the Union institutions and bodies.;n;;;;;;;;
32019R0517;"Member States may, without prejudice to domain names that have already been reserved or registered, notify to the Commission a list of domain names which are not to be registered pursuant to their national law;";n;;;;;;;;
32019R0517;Member States may, without prejudice to domain names that have already been reserved or registered, notify to the Commission a list of domain names which may be registered or reserved only at the second-level by the Member States.;n;;;;;;;;
