"Personal data shall be processed lawfully, fairly and in a transparent manner in relation to the data subject (‘lawfulness, fairness and transparency’).";"e";"Personal data shall be processed by the processor lawfully, fairly and in a transparent manner in relation to the data subject (‘lawfulness, fairness and transparency’)."
"Personal data shall be collected for specified, explicit and legitimate purposes and not further processed in a manner that is incompatible with those purposes.";"e";"Personal data shall be collected for specified, explicit and legitimate purposes by the processor and not further processed in a manner that is incompatible with those purposes by the processor. "
"further processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes shall, in accordance with Article 89(1), not be considered to be incompatible with the initial purposes (‘purpose limitation’).";"e";"further processing by the processor for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes shall, in accordance with Article 89(1), not be considered by the supervisory authority to be incompatible with the initial purposes (‘purpose limitation’)."
"Personal data shall be adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed (‘data minimisation’).";"e";"Personal data shall be adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed by the processor (‘data minimisation’)."
"Personal data shall be accurate and, where necessary, kept up to date.";"e";"Personal data shall be accurate and, where necessary, kept up to date. "
"every reasonable step must be taken to ensure that personal data that are inaccurate, having regard to the purposes for which they are processed, are erased or rectified without delay (‘accuracy’).";"e";"every reasonable step must be taken by the supervisory authority to ensure that personal data that are inaccurate, having regard to the purposes for which they are processed by the processor, are erased by the third party or rectified without delay by the third party (‘accuracy’)."
"Personal data shall be kept in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the personal data are processed.";"e";"Personal data shall be kept by the third party in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the personal data are processed by the processor. "
"personal data may be stored for longer periods insofar as the personal data will be processed solely for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1) subject to implementation of the appropriate technical and organisational measures required by this Regulation in order to safeguard the rights and freedoms of the data subject (‘storage limitation’).";"e";"personal data may be stored for longer periods by the third party insofar as the personal data will be processed by the processor solely for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1) subject to implementation of the appropriate technical and organisational measures required by this Regulation in order to safeguard the rights and freedoms of the data subject (‘storage limitation’)."
"Personal data shall be processed in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing and against accidental loss, destruction or damage, using appropriate technical or organisational measures (‘integrity and confidentiality’).";"e";"Personal data shall be processed by the processor in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing by the processor and against accidental loss, destruction or damage, using appropriate technical or organisational measures (‘integrity and confidentiality’)."
"The controller shall be responsible for, and be able to demonstrate compliance with, paragraph 1 (‘accountability’).";"e";"The controller shall be responsible for, and be able to demonstrate compliance with, paragraph 1 (‘accountability’)."
"Processing shall be lawful only if and to the extent that the data subject has given consent to the processing of his or her personal data for one or more specific purposes.";"e";"Processing by the processor shall be lawful only if and to the extent that the data subject has given consent to the processing by the processor of his or her personal data for one or more specific purposes."
"Processing shall be lawful only if and to the extent that processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract.";"e";"Processing by the processor shall be lawful only if and to the extent that processing by the processor is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract."
"Processing shall be lawful only if and to the extent that processing is necessary for compliance with a legal obligation to which the controller is subject.";"e";"Processing by the processor shall be lawful only if and to the extent that processing by the processor is necessary for compliance with a legal obligation to which the controller is subject."
"Processing shall be lawful only if and to the extent that processing is necessary in order to protect the vital interests of the data subject or of another natural person.";"e";"Processing by the processor shall be lawful only if and to the extent that processing by the processor is necessary in order to protect the vital interests of the data subject or of another natural person."
"Processing shall be lawful only if and to the extent that processing is necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller.";"e";"Processing by the processor shall be lawful only if and to the extent that processing by the processor is necessary for the performance of a task carried out by the international organisation in the public interest or in the exercise of official authority vested in the controller by the international organisation."
"Processing shall be lawful only if and to the extent that processing is necessary for the purposes of the legitimate interests pursued by the controller or by a third party, except where such interests are overridden by the interests or fundamental rights and freedoms of the data subject which require protection of personal data, in particular where the data subject is a child.";"e";"Processing by the processor shall be lawful only if and to the extent that processing by the processor is necessary for the purposes of the legitimate interests pursued by the controller or by a third party by the international organisation, except where such interests are overridden by the interests or fundamental rights and freedoms of the data subject which require protection of personal data, in particular where the data subject is a child."
"Point (f) of the first subparagraph shall not apply to processing carried out by public authorities in the performance of their tasks.";"e";"Point (f) of the first subparagraph shall not apply to processing by the processor carried out by public authorities in the performance of their tasks."
"Member States may maintain or introduce more specific provisions to adapt the application of the rules of this Regulation with regard to processing for compliance with points (c) and (e) of paragraph 1 by determining more precisely specific requirements for the processing and other measures to ensure lawful and fair processing including for other specific processing situations as provided for in Chapter IX.";"e";"Member States may maintain or introduce more specific provisions to adapt the application of the rules of this Regulation with regard to processing by the processor for compliance with points (c) and (e) of paragraph 1 by determining more precisely specific requirements for the processing by the processor and other measures to ensure lawful and fair processing by the processor including for other specific processing by the processor situations as provided for in Chapter IX by the controller."
"The basis for the processing referred to in point (c) and (e) of paragraph 1 shall be laid down by Union law.";"e";"The basis for the processing by the processor referred to in point (c) and (e) of paragraph 1 shall be laid down by Union law."
"The basis for the processing referred to in point (c) and (e) of paragraph 1 shall be laid down by Member State law to which the controller is subject.";"e";"The basis for the processing by the processor referred to in point (c) and (e) of paragraph 1 shall be laid down by Member State law to which the controller is subject."
"The purpose of the processing shall be determined in that legal basis or, as regards the processing referred to in point (e) of paragraph 1, shall be necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller.";"e";"The purpose of the processing by the processor shall be determined in that legal basis by the controller or, as regards the processing by the processor referred to in point (e) of paragraph 1, shall be necessary for the performance of a task carried out by the international organisation in the public interest or in the exercise of official authority vested in the controller by the international organisation. "
"That legal basis may contain specific provisions to adapt the application of rules of this Regulation, inter alia the general conditions governing the lawfulness of processing by the controller.";"e";"That legal basis may contain specific provisions to adapt the application of rules of this Regulation, inter alia the general conditions governing the lawfulness of processing by the controller."
"That legal basis may contain specific provisions to adapt the application of rules of this Regulation, inter alia the types of data which are subject to the processing.";"e";"That legal basis may contain specific provisions to adapt the application of rules of this Regulation, inter alia the types of data which are subject to the processing by the processor."
"That legal basis may contain specific provisions to adapt the application of rules of this Regulation, inter alia the data subjects concerned.";"e";"That legal basis may contain specific provisions to adapt the application of rules of this Regulation, inter alia the data subjects concerned."
"That legal basis may contain specific provisions to adapt the application of rules of this Regulation, inter alia the entities to, and the purposes for which, the personal data may be disclosed.";"e";"That legal basis may contain specific provisions to adapt the application of rules of this Regulation, inter alia the entities to, and the purposes for which, the personal data may be disclosed by the recipient."
"That legal basis may contain specific provisions to adapt the application of rules of this Regulation, inter alia the purpose limitation.";"e";"That legal basis may contain specific provisions to adapt the application of rules of this Regulation, inter alia the purpose limitation."
"That legal basis may contain specific provisions to adapt the application of rules of this Regulation, inter alia storage periods.";"e";"That legal basis may contain specific provisions to adapt the application of rules of this Regulation, inter alia storage periods."
"That legal basis may contain specific provisions to adapt the application of rules of this Regulation, inter alia and processing operations and processing procedures, including measures to ensure lawful and fair processing such as those for other specific processing situations as provided for in Chapter IX.";"e";"That legal basis may contain specific provisions to adapt the application of rules of this Regulation, inter alia and processing by the processor operations and processing by the processor procedures, including measures to ensure lawful and fair processing by the processor such as those for other specific processing by the processor situations as provided for in Chapter IX by the controller."
"The Union or the Member State law shall meet an objective of public interest and be proportionate to the legitimate aim pursued.";"e";"The Union or the Member State law shall meet an objective of public interest and be proportionate to the legitimate aim pursued."
"Where the processing for a purpose other than that for which the personal data have been collected is not based on the data subject’s consent or on a Union or Member State law which constitutes a necessary and proportionate measure in a democratic society to safeguard the objectives referred to in Article 23(1), the controller shall, in order to ascertain whether processing for another purpose is compatible with the purpose for which the personal data are initially collected, take into account, inter alia any link between the purposes for which the personal data have been collected and the purposes of the intended further processing.";"e";"Where the processing by the processor for a purpose other than that for which the personal data have been collected by the processor is not based on the data subject’s consent or on a Union or Member State law which constitutes a necessary and proportionate measure in a democratic society to safeguard the objectives referred to in Article 23(1), the controller shall, in order to ascertain whether processing for another purpose by the processor is compatible with the purpose for which the personal data are initially collected by the processor, take into account, inter alia any link between the purposes for which the personal data have been collected by the processor and the purposes of the intended further processing by the processor."
"Where the processing for a purpose other than that for which the personal data have been collected is not based on the data subject’s consent or on a Union or Member State law which constitutes a necessary and proportionate measure in a democratic society to safeguard the objectives referred to in Article 23(1), the controller shall, in order to ascertain whether processing for another purpose is compatible with the purpose for which the personal data are initially collected, take into account, inter alia the context in which the personal data have been collected, in particular regarding the relationship between data subjects and the controller.";"e";"Where the processing by the processor for a purpose other than that for which the personal data have been collected by the processor is not based on the data subject’s consent or on a Union or Member State law which constitutes a necessary and proportionate measure in a democratic society to safeguard the objectives referred to in Article 23(1), the controller shall, in order to ascertain whether processing for another purpose by the processor is compatible with the purpose for which the personal data are initially collected by the processor, take into account, inter alia the context in which the personal data have been collected by the processor, in particular regarding the relationship between data subjects and the controller."
"Where the processing for a purpose other than that for which the personal data have been collected is not based on the data subject’s consent or on a Union or Member State law which constitutes a necessary and proportionate measure in a democratic society to safeguard the objectives referred to in Article 23(1), the controller shall, in order to ascertain whether processing for another purpose is compatible with the purpose for which the personal data are initially collected, take into account, inter alia the nature of the personal data, in particular whether special categories of personal data are processed, pursuant to Article 9, or whether personal data related to criminal convictions and offences are processed, pursuant to Article 10.";"e";"Where the processing by the processor for a purpose other than that for which the personal data have been collected by the processor is not based on the data subject’s consent or on a Union or Member State law which constitutes a necessary and proportionate measure in a democratic society to safeguard the objectives referred to in Article 23(1), the controller shall, in order to ascertain whether processing for another purpose by the processor is compatible with the purpose for which the personal data are initially collected by the processor, take into account, inter alia the nature of the personal data, in particular whether special categories of personal data are processed by the processor, pursuant to Article 9, or whether personal data related to criminal convictions and offences are processed by the processor, pursuant to Article 10."
